"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","7897044","PRKCZ","5590","protein kinase C zeta",0.334153276096728,6.50805022205703,16.9419704385113,0.000896281358640983,0.00759820503136184,-0.110459424398526
"2","7897277","LINC00337","148645","long intergenic non-protein coding RNA 337",0.449523774781319,5.26629485052138,25.8345996969389,0.000294928339349974,0.0039104682227351,1.33821267347868
"3","7897280","HES3","390992","hes family bHLH transcription factor 3",0.393550071483123,6.42325449448714,4.38715025105295,0.0282870992295362,0.0668797999371697,-4.76109101963893
"4","7897339","CAMTA1","23261","calmodulin binding transcription activator 1",0.330729545679562,4.99735817926891,2.79327664634423,0.078699444427955,0.136132678688797,-6.1074015917344
"5","7897527","UBE4B","10277","ubiquitination factor E4B",0.171168089611552,9.18562253982552,2.99429560081202,0.0678304364611144,0.122567955990841,-5.91515527655801
"6","7897561","KIF1B","23095","kinesin family member 1B",-0.209235442493711,8.24454095134278,-1.9900058197659,0.152779466316517,0.229144848268796,-6.94246207034673
"7","7897620","PGD","5226","phosphogluconate dehydrogenase",-0.0270106070534233,10.8508647964627,-0.316877435548007,0.774649782553759,0.808322738282421,-8.5417124850359
"8","7897663","TARDBP","23435","TAR DNA binding protein",-0.490713868783372,10.1615210818128,-4.22605653727792,0.0309274931602983,0.0708786436040932,-4.88017660635366
"9","7897801","RNU5E-1","26829","RNA, U5E small nuclear 1",-0.90969834084375,11.4136979369336,-6.1064069526802,0.012554480418985,0.0392483922733053,-3.66904973162709
"10","7897860","TNFRSF8","943","TNF receptor superfamily member 8",0.30459399208812,6.88042133420594,10.3660435762987,0.00323893245889811,0.0168017389405905,-1.83522322331609
"11","7897960","AADACL3","126767","arylacetamide deacetylase like 3",-0.482545764040056,5.06383335128136,-1.83017617279794,0.17676266868013,0.257005054431401,-7.11914658827276
"12","7898057","PDPN","10630","podoplanin",-0.0883416343170218,7.604606865835,-0.571731773647269,0.612396389672865,0.677126548561472,-8.39733181178578
"13","7898161","EFHD2","79180","EF-hand domain family member D2",0.479928332852967,6.63140808489556,3.9663941381009,0.0359226257768906,0.0785390122120215,-5.07942376896119
"14","7898184","CELA2B","51032","chymotrypsin like elastase 2B",0.409844747679582,4.85821895454073,1.18297807944372,0.332104116453164,0.432536856678052,-7.83599143433524
"15","7898227","PLEKHM2","23207","pleckstrin homology and RUN domain containing M2",0.696784941644505,7.38581842048175,7.11618899745849,0.00852787258869832,0.0306521318027697,-3.14602713821601
"16","7898521","IGSF21","84966","immunoglobin superfamily member 21",1.06924688326007,6.21634154781223,40.6868918913892,8.88372449468702e-05,0.00251415484421768,2.79623328882384
"17","7898602","OTUD3","23252","OTU deubiquitinase 3",-0.0920803389182057,6.98116740321182,-1.00361689970823,0.398297947032748,0.491088008592527,-8.02180407997426
"18","7898623","UBXN10","127733","UBX domain protein 10",0.254561275970078,4.16090719887244,1.63838991600539,0.211783123759217,0.297137204170775,-7.33341844730395
"19","7898677","HS6ST1","9394","heparan sulfate 6-O-sulfotransferase 1",1.01701445621313,7.04443085759276,6.65200565455184,0.0101194261098364,0.034105945448983,-3.37758666626289
"20","7898679","NBPF3","84224","NBPF member 3",0.962494342475081,5.90847466205317,3.36555432363716,0.0524012592909395,0.102259612179125,-5.57815925767041
"21","7898693","ALPL","249","alkaline phosphatase, biomineralization associated",0.730907510714861,7.68965278119705,42.6565559248838,7.83984912724232e-05,0.00251415484421768,2.93803573830734
"22","7898833","KDM1A","23028","lysine demethylase 1A",0.0438479475787297,9.97946273248942,0.896137936529264,0.444103015784412,0.532426807638186,-8.12660464963906
"23","7898902","LYPLA2","11313","lysophospholipase 2",0.623574571446749,8.78495375700486,3.90923299210638,0.0371644503424844,0.0805714263205148,-5.12454652347094
"24","7898910","PNRC2","55629","proline rich nuclear receptor coactivator 2",-0.635519274822222,10.827298147143,-8.07099104688737,0.00618187193855718,0.0250738857507858,-2.71033048730031
"25","7898975","SRRM1","10250","serine and arginine repetitive matrix 1",0.095735929614726,8.53128775746146,4.65675926173187,0.024504434799934,0.0604262923132544,-4.56907600705541
"26","7899005","TMEM50A","23585","transmembrane protein 50A",-0.796863342620798,9.47967723127609,-7.68156328670228,0.0070168745902626,0.0271723415203173,-2.88194518530741
"27","7899016","SDHD","6392","succinate dehydrogenase complex subunit D",-0.788857256957643,8.83462236525383,-4.91767127350694,0.0214636330710054,0.0551405783910725,-4.391412385899
"28","7899023","LDLRAP1","26119","low density lipoprotein receptor adaptor protein 1",0.563921791867902,6.6808835562284,3.04923440683192,0.0652033360394979,0.119255574257917,-5.8638221597994
"29","7899043","SELENON","57190","selenoprotein N",1.09797297182918,8.22629740758386,7.58074486994261,0.00725793893748652,0.0277856816117771,-2.92769346381042
"30","7899134","CEP85","64793","centrosomal protein 85",-0.0766006538920516,7.05477547390473,-0.5705848254896,0.613071363584271,0.677126548561472,-8.398135045046
"31","7899167","LIN28A","79727","lin-28 homolog A",-0.0352120642073999,10.5746689122545,-0.363629599867523,0.743198311619604,0.78017582690099,-8.52072526974518
"32","7899192","RPS6KA1","6195","ribosomal protein S6 kinase A1",0.529383094803027,6.99502026312137,23.1034531151625,0.000396031687354187,0.0047292616472118,0.96043507976422
"33","7899220","ARID1A","8289","AT-rich interaction domain 1A",0.597211637219019,7.77116370468743,35.0022492575404,0.000132240859752833,0.00261425733250873,2.33042241678495
"34","7899273","NUDC","10726","nuclear distribution C, dynein complex regulator",0.19293892996105,8.1314190497761,1.86309013931783,0.171470669191914,0.251095393261113,-7.08257695974441
"35","7899284","TRNP1","388610","TMF1 regulated nuclear protein 1",0.531976150559999,7.39804616148964,2.66082215647022,0.0871128466386424,0.14674756299134,-6.23788392179681
"36","7899289","WDTC1","23038","WD and tetratricopeptide repeats 1",0.605682510056242,6.2077448307597,6.0748995570409,0.0127184434186114,0.0395425931952514,-3.68657494362312
"37","7899361","STX12","23673","syntaxin 12",-0.949953897823057,7.06475631222281,-55.6762813089334,3.87549760259845e-05,0.00251415484421768,3.68759517211101
"38","7899407","SMPDL3B","27293","sphingomyelin phosphodiesterase acid like 3B",0.118190951458457,7.40072984349417,0.858825638783487,0.461141782876024,0.548173847506744,-8.1615321976041
"39","7899455","PHACTR4","65979","phosphatase and actin regulator 4",0.211710200946975,8.39458150803303,2.73222770578635,0.0824409807980547,0.140844159279175,-6.16716620816995
"40","7899504","GMEB1","10691","glucocorticoid modulatory element binding protein 1",0.272850169957391,7.61933702520644,15.9693087586823,0.00104689602416585,0.00843088924338614,-0.317061572333435
"41","7899519","YTHDF2","51441","YTH N6-methyladenosine RNA binding protein 2",0.0751704755039917,8.45536032035618,1.02780304713258,0.38864386607437,0.48260108889096,-7.99746105715481
"42","7899528","OPRD1","4985","opioid receptor delta 1",0.317034802686946,6.10153980063134,1.06540890670571,0.374095628057703,0.469968748937268,-7.95912549011624
"43","7899534","EPB41","2035","erythrocyte membrane protein band 4.1",-0.39208327387942,7.92718018314152,-4.15718928559386,0.0321569904396243,0.0726349688038561,-4.932125167362
"44","7899562","PTPRU","10076","protein tyrosine phosphatase receptor type U",0.630186028282528,6.55557672111056,6.98275871000534,0.0089482026660614,0.0316075777355998,-3.21115222010049
"45","7899654","KHDRBS1","10657","KH RNA binding domain containing, signal transduction associated 1",0.0705359427767913,8.78227822759963,2.82873523495357,0.0766264990317796,0.13392558616067,-6.07298426904573
"46","7899753","LCK","3932","LCK proto-oncogene, Src family tyrosine kinase",0.0393085589330999,7.17041136896631,0.324666521459846,0.769364547169224,0.803342253535553,-8.53840009282707
"47","7899813","RBBP4","5928","RB binding protein 4, chromatin remodeling factor",-0.791022769363725,10.5827021793154,-9.52540120290313,0.00403309346601543,0.0192063149580728,-2.13191561634231
"48","7899943","ZMYM1","79830","zinc finger MYM-type containing 1",-0.729128326983846,7.99271883286086,-3.46001249548544,0.0492273494527827,0.0978515754859918,-5.49604929209855
"49","7900159","DNALI1","7802","dynein axonemal light intermediate chain 1",-0.0364183505051239,6.44663843461266,-0.95487130722467,0.418477576449449,0.508277214708242,-8.0700551212211
"50","7900167","CDCA8","55143","cell division cycle associated 8",-0.175619565106506,6.46226385459437,-0.765707938559431,0.506285098704048,0.591671979483991,-8.24487579812112
"51","7900216","AKIRIN1","79647","akirin 1",-0.122270775672481,9.55899836447535,-2.26993022331254,0.119667049725036,0.188979216805769,-6.64015882804736
"52","7900336","MACF1","23499","microtubule actin crosslinking factor 1",-0.503218558747636,5.57780453386419,-4.81918590448877,0.0225483646218058,0.0570713557254864,-4.45756855249027
"53","7900340","BMP8A","353500","bone morphogenetic protein 8a",0.402852149271884,4.98472702694232,0.988041528213416,0.404640078021541,0.496694904015484,-8.03734284174138
"54","7900365","MFSD2A","84879","major facilitator superfamily domain containing 2A",0.0947266751729261,6.57475690219673,5.55187891378088,0.0159218426317091,0.0453464101587114,-3.98965451875282
"55","7900438","ZFP69B","65243","ZFP69 zinc finger protein B",-0.315437170621248,6.23616453648456,-2.61198328630837,0.090505139596756,0.151378130751062,-6.28675563650133
"56","7900461","ZNF684","127396","zinc finger protein 684",-1.0801189785567,4.66110972394189,-3.84251949042356,0.0386870696091818,0.0829638388838653,-5.17780453155123
"57","7900468","NFYC","4802","nuclear transcription factor Y subunit gamma",0.491632920628644,7.70563345950454,28.8143380982805,0.000221088492603168,0.00336641216083464,1.70145916085626
"58","7900510","CTPS1","1503","CTP synthase 1",-0.107932449849841,9.1574278534062,-0.909431327520383,0.438175892623445,0.527133105291053,-8.11396790261795
"59","7900540","RIMKLA","284716","ribosomal modification protein rimK like family member A",0.274381577624152,6.19443682296541,16.0813550392281,0.00102784916744925,0.00835238399455739,-0.292601932068775
"60","7900576","PPIH","10465","peptidylprolyl isomerase H",-0.716777189418068,8.30113697343423,-6.89232885268287,0.00924925817647433,0.0321876921008223,-3.25593599864543
"61","7900624","ZNF691","51058","zinc finger protein 691",-0.118017666149656,6.14764486000968,-1.08480766870451,0.366807390207755,0.463558627700104,-7.9391340720262
"62","7900699","CDC20","991","cell division cycle 20",0.368979126030164,8.62230766884917,3.61803169843191,0.044461672430263,0.0915902665430767,-5.36185640310511
"63","7900792","PTPRF","5792","protein tyrosine phosphatase receptor type F",0.692601122730215,7.65424714864985,7.82108938627035,0.00670093736443669,0.0264717970610198,-2.81954409292169
"64","7900833","KDM4A","9682","lysine demethylase 4A",-0.0707309123454323,8.79980744173327,-2.33358529292926,0.113426033179163,0.180721126348784,-6.57296678165285
"65","7900911","DPH2","1802","diphthamide biosynthesis 2",0.299371621793164,6.50380261240765,16.6292439215225,0.000941256838285098,0.00785215146122586,-0.175502281148949
